,datetime,open,max,min,close,value
0,2022-11-28 08:40:00,8.4110,8.4110,8.4080,8.4090,2.388M
1,2022-11-28 08:35:00,8.4080,8.4120,8.4080,8.4120,3.768M
2,2022-11-28 08:20:00,8.4080,8.4090,8.4080,8.4090,7.988M
3,2022-11-28 08:15:00,8.4090,8.4110,8.4050,8.4060,56.766M
4,2022-11-28 08:10:00,8.4070,8.4090,8.4060,8.4080,14.419M
5,2022-11-28 08:05:00,8.4070,8.4090,8.4060,8.4070,24.473M
6,2022-11-28 08:00:00,8.4070,8.4090,8.4070,8.4080,3.843M
7,2022-11-28 07:45:00,8.4080,8.4080,8.4080,8.4080,7.567M
8,2022-11-28 07:40:00,8.4080,8.4100,8.4070,8.4090,10.813M
9,2022-11-28 07:35:00,8.4110,8.4110,8.4070,8.4100,18.229M
10,2022-11-28 07:30:00,8.4120,8.4120,8.4080,8.4110,10.984M
11,2022-11-28 07:25:00,8.4120,8.4130,8.4090,8.4130,8.329M
12,2022-11-28 07:10:00,8.4160,8.4160,8.4160,8.4160,42.08K
13,2022-11-28 07:05:00,8.4110,8.4190,8.4100,8.4120,20.342M
14,2022-11-28 07:00:00,8.4130,8.4250,8.4110,8.4110,56.183M
15,2022-11-25 18:55:00,8.4180,8.4180,8.4150,8.4160,30.558M
16,2022-11-25 18:50:00,8.4220,8.4220,8.4160,8.4180,194.307M
17,2022-11-25 18:45:00,8.4220,8.4240,8.4210,8.4210,49.953M
18,2022-11-25 18:40:00,8.4210,8.4230,8.4200,8.4210,21.887M
19,2022-11-25 18:35:00,8.4240,8.4240,8.4210,8.4210,48.283M
20,2022-11-25 18:30:00,8.4240,8.4240,8.4230,8.4240,31.691M
21,2022-11-25 18:25:00,8.4240,8.4240,8.4220,8.4240,124.65M
22,2022-11-25 18:05:00,8.4220,8.4220,8.4220,8.4220,84.22K
23,2022-11-25 17:55:00,8.4210,8.4220,8.4210,8.4210,29.603M
24,2022-11-25 17:50:00,8.4200,8.4220,8.4190,8.4220,696.483M
25,2022-11-25 17:45:00,8.4200,8.4200,8.4190,8.4190,118.73M
26,2022-11-25 17:40:00,8.4190,8.4200,8.4170,8.4190,218.84M
27,2022-11-25 17:35:00,8.4190,8.4190,8.4150,8.4180,67.956M
28,2022-11-25 17:30:00,8.4200,8.4200,8.4170,8.4200,154.478M
29,2022-11-25 17:25:00,8.4190,8.4200,8.4160,8.4200,214.319M
30,2022-11-25 17:20:00,8.4190,8.4200,8.4190,8.4190,123.107M
31,2022-11-25 17:15:00,8.4190,8.4200,8.4170,8.4190,222.297M
32,2022-11-25 17:10:00,8.4190,8.4190,8.4160,8.4190,76.795M
33,2022-11-25 16:45:00,8.4200,8.4210,8.4190,8.4200,38.497M
34,2022-11-25 16:40:00,8.4210,8.4210,8.4180,8.4190,176.64M
35,2022-11-25 16:35:00,8.4220,8.4230,8.4190,8.4210,181.975M
36,2022-11-25 16:30:00,8.4210,8.4230,8.4190,8.4230,100.189M
37,2022-11-25 16:25:00,8.4220,8.4230,8.4200,8.4210,282.307M
38,2022-11-25 16:20:00,8.4210,8.4220,8.4200,8.4220,239.131M
39,2022-11-25 16:05:00,8.4240,8.4240,8.4230,8.4240,11.785M
40,2022-11-25 16:00:00,8.4250,8.4250,8.4230,8.4240,229.288M
41,2022-11-25 15:55:00,8.4240,8.4250,8.4240,8.4240,135.285M
42,2022-11-25 15:50:00,8.4240,8.4250,8.4220,8.4240,227.162M
43,2022-11-25 15:45:00,8.4250,8.4250,8.4230,8.4240,141.712M
44,2022-11-25 15:40:00,8.4250,8.4250,8.4230,8.4250,176.649M
45,2022-11-25 15:20:00,8.4230,8.4240,8.4210,8.4240,83.524M
46,2022-11-25 15:15:00,8.4220,8.4240,8.4220,8.4230,203.657M
47,2022-11-25 15:10:00,8.4190,8.4210,8.4190,8.4210,204.841M
48,2022-11-25 15:05:00,8.4200,8.4220,8.4180,8.4190,330.554M
49,2022-11-25 15:00:00,8.4230,8.4230,8.4180,8.4200,221.777M
50,2022-11-25 14:55:00,8.4200,8.4230,8.4190,8.4230,394.522M
51,2022-11-25 14:40:00,8.4210,8.4210,8.4160,8.4170,294.508M
52,2022-11-25 14:35:00,8.4200,8.4210,8.4190,8.4210,119.972M
53,2022-11-25 14:30:00,8.4250,8.4250,8.4190,8.4200,318.02M
54,2022-11-25 14:25:00,8.4250,8.4250,8.4230,8.4250,283.507M
55,2022-11-25 14:20:00,8.4230,8.4250,8.4220,8.4250,113.683M
56,2022-11-25 14:05:00,8.4260,8.4260,8.4220,8.4230,165.738M
57,2022-11-25 14:00:00,8.4240,8.4300,8.4220,8.4270,577.687M
58,2022-11-25 13:55:00,8.4240,8.4250,8.4230,8.4230,115.75M
59,2022-11-25 13:50:00,8.4250,8.4260,8.4230,8.4240,331.687M
60,2022-11-25 13:45:00,8.4260,8.4260,8.4240,8.4240,437.128M
61,2022-11-25 13:30:00,8.4250,8.4260,8.4250,8.4260,64.687M
62,2022-11-25 13:25:00,8.4260,8.4270,8.4240,8.4250,621.083M
63,2022-11-25 13:20:00,8.4260,8.4270,8.4260,8.4260,235.471M
64,2022-11-25 13:15:00,8.4210,8.4270,8.4210,8.4270,1.558B
65,2022-11-25 13:10:00,8.4220,8.4220,8.4190,8.4210,299.238M
66,2022-11-25 12:50:00,8.4240,8.4250,8.4220,8.4230,69.727M
67,2022-11-25 12:45:00,8.4270,8.4270,8.4230,8.4240,274.202M
68,2022-11-25 12:40:00,8.4270,8.4270,8.4250,8.4270,294.752M
69,2022-11-25 12:35:00,8.4260,8.4270,8.4260,8.4260,311.281M
70,2022-11-25 12:30:00,8.4300,8.4300,8.4260,8.4260,434.969M
71,2022-11-25 12:15:00,8.4250,8.4250,8.4240,8.4240,202.948M
72,2022-11-25 12:10:00,8.4200,8.4250,8.4190,8.4250,666.672M
73,2022-11-25 12:05:00,8.4190,8.4200,8.4180,8.4200,884.476M
74,2022-11-25 12:00:00,8.4190,8.4190,8.4170,8.4190,489.116M
75,2022-11-25 11:55:00,8.4180,8.4190,8.4170,8.4190,224.992M
76,2022-11-25 11:50:00,8.4200,8.4200,8.4180,8.4180,270.558M
77,2022-11-25 11:35:00,8.4240,8.4240,8.4230,8.4230,20.595M
78,2022-11-25 11:30:00,8.4240,8.4250,8.4230,8.4250,311.353M
79,2022-11-25 11:25:00,8.4240,8.4260,8.4230,8.4250,357.376M
80,2022-11-25 11:20:00,8.4260,8.4270,8.4240,8.4240,161.224M
81,2022-11-25 11:15:00,8.4220,8.4280,8.4210,8.4260,472.063M
82,2022-11-25 11:00:00,8.4270,8.4280,8.4250,8.4270,153.32M
83,2022-11-25 10:55:00,8.4270,8.4280,8.4270,8.4270,235.57M
84,2022-11-25 10:50:00,8.4250,8.4280,8.4250,8.4270,226.926M
85,2022-11-25 10:45:00,8.4260,8.4290,8.4250,8.4260,802.735M
86,2022-11-25 10:40:00,8.4270,8.4290,8.4250,8.4250,738.027M
87,2022-11-25 10:35:00,8.4280,8.4300,8.4260,8.4270,841.824M
88,2022-11-25 10:30:00,8.4270,8.4300,8.4260,8.4290,845.517M
89,2022-11-25 10:10:00,8.4270,8.4290,8.4260,8.4270,88.218M
90,2022-11-25 10:05:00,8.4260,8.4350,8.4240,8.4290,617.513M
91,2022-11-25 10:00:00,8.4290,8.4300,8.4220,8.4250,402.143M
92,2022-11-25 09:55:00,8.4300,8.4310,8.4270,8.4290,72.867M
93,2022-11-25 09:50:00,8.4260,8.4300,8.4230,8.4300,156.542M
94,2022-11-25 09:45:00,8.4300,8.4320,8.4240,8.4250,469.263M
95,2022-11-25 09:40:00,8.4380,8.4390,8.4300,8.4320,148.09M
96,2022-11-25 09:35:00,8.4400,8.4400,8.4350,8.4380,125.147M
97,2022-11-25 09:30:00,8.4420,8.4430,8.4400,8.4420,41.234M
98,2022-11-25 09:05:00,8.4410,8.4410,8.4400,8.4410,9.53M
99,2022-11-25 09:00:00,8.4410,8.4420,8.4390,8.4410,105.204M
100,2022-11-25 08:55:00,8.4400,8.4400,8.4400,8.4400,1.283M
101,2022-11-25 08:50:00,8.4390,8.4420,8.4390,8.4400,10.644M
102,2022-11-25 08:45:00,8.4400,8.4410,8.4400,8.4410,10.778M
103,2022-11-25 08:40:00,8.4410,8.4410,8.4400,8.4400,20.545M
104,2022-11-25 08:25:00,8.4400,8.4400,8.4400,8.4400,16.88K
105,2022-11-25 08:20:00,8.4380,8.4410,8.4380,8.4400,9.891M
106,2022-11-25 08:15:00,8.4400,8.4410,8.4390,8.4410,17.311M
107,2022-11-25 08:10:00,8.4400,8.4430,8.4390,8.4410,16.368M
108,2022-11-25 08:05:00,8.4410,8.4410,8.4370,8.4370,9.874M
109,2022-11-25 07:45:00,8.4400,8.4410,8.4400,8.4410,1.148M
110,2022-11-25 07:40:00,8.4400,8.4400,8.4380,8.4380,3.047M
111,2022-11-25 07:35:00,8.4410,8.4410,8.4400,8.4410,3.106M
112,2022-11-25 07:30:00,8.4400,8.4400,8.4380,8.4380,3.334M
113,2022-11-25 07:25:00,8.4360,8.4360,8.4360,8.4360,717.06K
114,2022-11-25 07:15:00,8.4410,8.4420,8.4410,8.4420,23.384M
115,2022-11-25 07:10:00,8.4450,8.4450,8.4420,8.4420,3.571M
116,2022-11-25 07:05:00,8.4460,8.4470,8.4440,8.4440,1.453M
117,2022-11-25 07:00:00,8.4490,8.4490,8.4390,8.4470,31.51M
118,2022-11-24 18:55:00,8.4470,8.4500,8.4450,8.4490,67.786M
