,datetime,open,max,min,close,value
0,2021-10-05 13:30:00,11.2735,11.2745,11.2735,11.2745,124.015K
1,2021-10-05 13:25:00,11.2730,11.2730,11.2730,11.2730,11.273K
2,2021-10-05 13:20:00,11.2665,11.2685,11.2665,11.2685,33.803K
3,2021-10-05 13:10:00,11.2645,11.2645,11.2645,11.2645,45.059K
4,2021-10-05 13:00:00,11.2765,11.2765,11.2765,11.2765,11.277K
5,2021-10-05 12:55:00,11.2715,11.2715,11.2690,11.2710,3.403M
6,2021-10-05 12:50:00,11.2765,11.2765,11.2720,11.2720,3.393M
7,2021-10-05 12:45:00,11.2790,11.2795,11.2785,11.2795,45.116K
8,2021-10-05 12:40:00,11.2765,11.2790,11.2765,11.2790,7.895M
9,2021-10-05 12:35:00,11.2750,11.2810,11.2750,11.2805,21.7M
10,2021-10-05 12:30:00,11.2785,11.2800,11.2785,11.2795,2.775M
11,2021-10-05 12:20:00,11.2740,11.2795,11.2740,11.2795,33.833K
12,2021-10-05 12:15:00,11.2780,11.2785,11.2780,11.2785,33.835K
13,2021-10-05 12:10:00,11.2800,11.2820,11.2800,11.2800,2.876M
14,2021-10-05 12:05:00,11.2760,11.2800,11.2755,11.2800,164.104M
15,2021-10-05 11:55:00,11.2755,11.2755,11.2700,11.2700,11.839M
16,2021-10-05 11:50:00,11.2770,11.2775,11.2725,11.2775,394.617K
17,2021-10-05 11:45:00,11.2800,11.2805,11.2770,11.2805,21.996M
18,2021-10-05 11:40:00,11.2780,11.2800,11.2780,11.2800,1.793M
19,2021-10-05 11:35:00,11.2750,11.2750,11.2750,11.2750,1.116M
20,2021-10-05 11:30:00,11.2710,11.2750,11.2710,11.2750,45.089K
21,2021-10-05 11:25:00,11.2750,11.2755,11.2715,11.2755,40.207M
22,2021-10-05 11:20:00,11.2750,11.2750,11.2710,11.2710,180.398K
23,2021-10-05 11:15:00,11.2755,11.2765,11.2755,11.2765,11.49M
24,2021-10-05 11:10:00,11.2780,11.2780,11.2780,11.2780,631.557K
25,2021-10-05 11:05:00,11.2770,11.2780,11.2770,11.2780,6.09M
26,2021-10-05 11:00:00,11.2750,11.2800,11.2750,11.2780,13.15M
27,2021-10-05 10:55:00,11.2670,11.2695,11.2670,11.2690,18.817M
28,2021-10-05 10:50:00,11.2700,11.2715,11.2675,11.2695,33.482M
29,2021-10-05 10:45:00,11.2700,11.2700,11.2700,11.2700,1.127M
30,2021-10-05 10:40:00,11.2665,11.2665,11.2665,11.2665,22.533K
31,2021-10-05 10:35:00,11.2670,11.2670,11.2670,11.2670,5.634M
32,2021-10-05 10:30:00,11.2660,11.2670,11.2660,11.2670,11.267M
