,datetime,open,max,min,close,value
0,2022-08-23 15:55:00,8.7030,8.7100,8.7030,8.7040,462.676M
1,2022-08-23 15:50:00,8.7070,8.7070,8.7010,8.7040,672.338M
2,2022-08-23 15:45:00,8.7100,8.7130,8.7050,8.7080,428.872M
3,2022-08-23 15:40:00,8.7060,8.7140,8.7050,8.7090,683.791M
4,2022-08-23 15:35:00,8.7100,8.7100,8.7010,8.7070,565.522M
5,2022-08-23 15:30:00,8.7060,8.7150,8.7020,8.7100,616.415M
6,2022-08-23 15:25:00,8.6910,8.7120,8.6880,8.7050,532.612M
7,2022-08-23 15:20:00,8.6860,8.7030,8.6860,8.6920,601.986M
8,2022-08-23 15:15:00,8.6940,8.6950,8.6830,8.6870,623.766M
9,2022-08-23 15:10:00,8.7010,8.7010,8.6880,8.6950,398.508M
10,2022-08-23 15:05:00,8.6860,8.7040,8.6820,8.7010,574.886M
11,2022-08-23 15:00:00,8.6930,8.6930,8.6800,8.6860,565.586M
12,2022-08-23 14:55:00,8.6840,8.6950,8.6800,8.6930,553.508M
13,2022-08-23 14:50:00,8.6900,8.6910,8.6810,8.6840,686.964M
14,2022-08-23 14:45:00,8.6920,8.6970,8.6810,8.6910,802.678M
15,2022-08-23 14:40:00,8.6990,8.6990,8.6840,8.6920,610.575M
16,2022-08-23 14:35:00,8.6940,8.6980,8.6910,8.6940,508.229M
17,2022-08-23 14:30:00,8.7010,8.7020,8.6910,8.6940,474.024M
18,2022-08-23 14:25:00,8.7030,8.7060,8.6980,8.7010,600.497M
19,2022-08-23 14:20:00,8.7080,8.7090,8.7000,8.7030,616.617M
20,2022-08-23 14:15:00,8.7130,8.7140,8.7050,8.7090,365.13M
21,2022-08-23 14:10:00,8.7110,8.7140,8.7080,8.7140,499.275M
22,2022-08-23 14:05:00,8.7140,8.7150,8.7080,8.7120,307.888M
23,2022-08-23 14:00:00,8.7220,8.7220,8.7110,8.7130,413.35M
24,2022-08-23 13:55:00,8.7110,8.7270,8.7090,8.7230,728.837M
25,2022-08-23 13:50:00,8.7000,8.7150,8.6990,8.7120,730.584M
26,2022-08-23 13:45:00,8.7100,8.7130,8.6960,8.7000,721.32M
27,2022-08-23 13:40:00,8.7080,8.7150,8.7060,8.7100,868.74M
28,2022-08-23 13:35:00,8.7200,8.7210,8.7090,8.7090,357.568M
29,2022-08-23 13:30:00,8.7080,8.7230,8.7070,8.7210,578.641M
30,2022-08-23 13:25:00,8.7120,8.7140,8.7010,8.7090,982.378M
31,2022-08-23 13:20:00,8.7230,8.7240,8.7100,8.7110,565.628M
32,2022-08-23 13:15:00,8.7370,8.7370,8.7220,8.7230,464.783M
33,2022-08-23 13:10:00,8.7370,8.7380,8.7320,8.7370,931.841M
34,2022-08-23 13:05:00,8.7380,8.7380,8.7370,8.7370,675.829M
35,2022-08-23 13:00:00,8.7350,8.7390,8.7350,8.7370,341.812M
36,2022-08-23 12:55:00,8.7380,8.7380,8.7350,8.7360,413.993M
37,2022-08-23 12:50:00,8.7350,8.7390,8.7350,8.7380,413.255M
38,2022-08-23 12:45:00,8.7380,8.7420,8.7350,8.7350,622.948M
39,2022-08-23 12:40:00,8.7410,8.7410,8.7340,8.7370,333.452M
40,2022-08-23 12:35:00,8.7480,8.7520,8.7390,8.7410,669.948M
41,2022-08-23 12:30:00,8.7310,8.7490,8.7290,8.7460,551.902M
42,2022-08-23 12:25:00,8.7280,8.7340,8.7260,8.7310,389.681M
43,2022-08-23 12:20:00,8.7290,8.7330,8.7260,8.7280,613.249M
44,2022-08-23 12:15:00,8.7280,8.7330,8.7240,8.7290,463.764M
45,2022-08-23 12:10:00,8.7260,8.7340,8.7230,8.7280,425.816M
46,2022-08-23 12:05:00,8.7230,8.7290,8.7210,8.7260,938.622M
47,2022-08-23 12:00:00,8.7120,8.7260,8.7100,8.7230,620.163M
48,2022-08-23 11:55:00,8.7070,8.7160,8.7050,8.7120,464.274M
49,2022-08-23 11:50:00,8.7060,8.7250,8.7030,8.7080,477.202M
50,2022-08-23 11:45:00,8.7080,8.7090,8.7000,8.7070,428.251M
51,2022-08-23 11:40:00,8.7070,8.7160,8.7040,8.7080,477.369M
52,2022-08-23 11:35:00,8.7130,8.7200,8.7010,8.7080,821.33M
53,2022-08-23 11:30:00,8.6950,8.7150,8.6800,8.7130,790.461M
54,2022-08-23 11:25:00,8.7050,8.7090,8.6910,8.6930,1.116B
55,2022-08-23 11:20:00,8.7060,8.7130,8.7050,8.7050,904.25M
56,2022-08-23 11:15:00,8.7090,8.7110,8.7050,8.7070,583.11M
57,2022-08-23 11:10:00,8.7050,8.7150,8.7050,8.7090,616.76M
58,2022-08-23 11:05:00,8.7220,8.7250,8.7050,8.7060,949.422M
59,2022-08-23 11:00:00,8.7230,8.7280,8.7000,8.7220,1.023B
60,2022-08-23 10:55:00,8.7420,8.7420,8.7200,8.7230,774.05M
61,2022-08-23 10:50:00,8.7430,8.7480,8.7320,8.7410,285.677M
62,2022-08-23 10:45:00,8.7560,8.7570,8.7400,8.7430,180.156M
63,2022-08-23 10:40:00,8.7430,8.7610,8.7420,8.7560,324.787M
64,2022-08-23 10:35:00,8.7340,8.7560,8.7320,8.7420,533.755M
65,2022-08-23 10:30:00,8.7640,8.7710,8.7350,8.7350,809.872M
66,2022-08-23 10:25:00,8.7670,8.7690,8.7480,8.7640,640.197M
67,2022-08-23 10:20:00,8.7790,8.7820,8.7620,8.7660,926.292M
68,2022-08-23 10:15:00,8.7600,8.7870,8.7570,8.7780,635.992M
69,2022-08-23 10:10:00,8.7340,8.7610,8.7240,8.7600,719.823M
70,2022-08-23 10:05:00,8.7140,8.7390,8.7120,8.7330,748.863M
71,2022-08-23 10:00:00,8.7150,8.7270,8.6890,8.7120,731.127M
72,2022-08-23 09:55:00,8.7150,8.7150,8.7150,8.7150,10.693M
73,2022-08-22 18:55:00,8.7140,8.7180,8.7060,8.7110,64.889M
74,2022-08-22 18:50:00,8.7050,8.7170,8.7040,8.7140,135.999M
75,2022-08-22 18:45:00,8.6980,8.7070,8.6970,8.7050,135.491M
76,2022-08-22 18:40:00,8.6970,8.6990,8.6970,8.6980,46.675M
77,2022-08-22 18:35:00,8.6930,8.6980,8.6910,8.6980,82.427M
78,2022-08-22 18:30:00,8.6980,8.6990,8.6910,8.6930,68.825M
79,2022-08-22 18:25:00,8.6970,8.6990,8.6950,8.6980,68.425M
80,2022-08-22 18:20:00,8.6930,8.6990,8.6910,8.6980,85.516M
81,2022-08-22 18:15:00,8.6950,8.6980,8.6920,8.6920,60.074M
82,2022-08-22 18:10:00,8.6850,8.6950,8.6850,8.6950,84.359M
83,2022-08-22 18:05:00,8.6930,8.6930,8.6830,8.6840,115.426M
84,2022-08-22 18:00:00,8.6740,8.6970,8.6740,8.6920,168.525M
85,2022-08-22 17:55:00,8.6730,8.6740,8.6560,8.6700,103.645M
86,2022-08-22 17:50:00,8.6900,8.6970,8.6640,8.6730,329.843M
87,2022-08-22 17:45:00,8.6800,8.7030,8.6790,8.6910,372.402M
88,2022-08-22 17:40:00,8.6780,8.6830,8.6750,8.6800,209.947M
89,2022-08-22 17:35:00,8.6550,8.6800,8.6550,8.6780,135.597M
90,2022-08-22 17:30:00,8.6630,8.6650,8.6520,8.6550,271.717M
91,2022-08-22 17:26:00,8.6680,8.6690,8.6610,8.6640,75.409M
