,datetime,open,max,min,close,value
0,2023-01-10 16:40:00,10.2270,10.2300,10.2230,10.2270,243.268M
1,2023-01-10 16:35:00,10.2290,10.2300,10.2250,10.2250,157.544M
2,2023-01-10 16:30:00,10.2270,10.2290,10.2250,10.2280,221.289M
3,2023-01-10 16:25:00,10.2220,10.2280,10.2210,10.2280,295.223M
4,2023-01-10 16:20:00,10.2200,10.2230,10.2190,10.2220,343.579M
5,2023-01-10 16:15:00,10.2200,10.2230,10.2190,10.2190,384.743M
6,2023-01-10 16:10:00,10.2200,10.2200,10.2170,10.2200,361.149M
7,2023-01-10 16:05:00,10.2180,10.2210,10.2160,10.2200,329.468M
8,2023-01-10 16:00:00,10.2220,10.2220,10.2170,10.2180,106.853M
9,2023-01-10 15:55:00,10.2230,10.2230,10.2180,10.2220,272.931M
10,2023-01-10 15:50:00,10.2140,10.2250,10.2130,10.2230,288.122M
11,2023-01-10 15:45:00,10.2060,10.2120,10.2040,10.2120,631.663M
12,2023-01-10 15:40:00,10.2080,10.2080,10.2030,10.2060,270.952M
13,2023-01-10 15:35:00,10.2070,10.2070,10.2010,10.2070,154.451M
14,2023-01-10 15:30:00,10.2050,10.2170,10.2040,10.2070,544.378M
15,2023-01-10 15:25:00,10.2060,10.2070,10.2010,10.2060,291.259M
16,2023-01-10 15:20:00,10.2100,10.2120,10.2010,10.2050,649.203M
17,2023-01-10 15:15:00,10.2200,10.2230,10.2050,10.2100,749.583M
18,2023-01-10 15:10:00,10.2250,10.2270,10.2040,10.2190,874.484M
19,2023-01-10 15:05:00,10.2290,10.2290,10.2250,10.2260,185.401M
20,2023-01-10 15:00:00,10.2250,10.2290,10.2240,10.2290,716.26M
21,2023-01-10 14:55:00,10.2230,10.2260,10.2230,10.2240,414.73M
22,2023-01-10 14:50:00,10.2260,10.2270,10.2230,10.2230,415.726M
23,2023-01-10 14:45:00,10.2280,10.2290,10.2260,10.2270,314.227M
24,2023-01-10 14:40:00,10.2290,10.2300,10.2230,10.2280,392.491M
25,2023-01-10 14:35:00,10.2300,10.2300,10.2250,10.2290,211.627M
26,2023-01-10 14:30:00,10.2300,10.2300,10.2260,10.2300,276.509M
27,2023-01-10 14:25:00,10.2300,10.2300,10.2240,10.2300,409.189M
28,2023-01-10 14:20:00,10.2260,10.2300,10.2260,10.2300,980.167M
29,2023-01-10 14:15:00,10.2230,10.2270,10.2220,10.2270,1.334B
30,2023-01-10 14:10:00,10.2290,10.2300,10.2230,10.2230,845.373M
31,2023-01-10 14:05:00,10.2270,10.2300,10.2260,10.2280,268.369M
32,2023-01-10 14:00:00,10.2280,10.2300,10.2260,10.2280,326.018M
33,2023-01-10 13:55:00,10.2300,10.2350,10.2260,10.2270,410.31M
34,2023-01-10 13:50:00,10.2170,10.2300,10.2170,10.2280,290.159M
35,2023-01-10 13:45:00,10.2210,10.2220,10.2170,10.2170,367.652M
36,2023-01-10 13:40:00,10.2180,10.2210,10.2170,10.2210,365.145M
37,2023-01-10 13:35:00,10.2170,10.2200,10.2160,10.2180,195.153M
38,2023-01-10 13:30:00,10.2070,10.2210,10.2070,10.2170,726.309M
39,2023-01-10 13:25:00,10.2060,10.2100,10.2050,10.2090,204.862M
40,2023-01-10 13:20:00,10.2240,10.2240,10.2060,10.2060,652.284M
41,2023-01-10 13:15:00,10.2120,10.2240,10.2110,10.2240,374.201M
42,2023-01-10 13:10:00,10.2090,10.2140,10.2070,10.2130,161.462M
43,2023-01-10 13:05:00,10.2100,10.2100,10.2070,10.2090,205.089M
44,2023-01-10 13:00:00,10.2090,10.2170,10.2070,10.2100,525.352M
45,2023-01-10 12:55:00,10.2100,10.2100,10.2070,10.2090,372.729M
46,2023-01-10 12:50:00,10.2090,10.2100,10.2070,10.2100,457.343M
47,2023-01-10 12:45:00,10.2160,10.2170,10.2070,10.2080,391.551M
48,2023-01-10 12:40:00,10.2130,10.2220,10.2070,10.2180,785.61M
49,2023-01-10 12:35:00,10.2210,10.2210,10.2080,10.2140,1.708B
50,2023-01-10 12:30:00,10.2270,10.2280,10.2200,10.2220,413.802M
51,2023-01-10 12:25:00,10.2280,10.2320,10.2210,10.2250,590.125M
52,2023-01-10 12:20:00,10.2300,10.2400,10.2250,10.2270,473.405M
53,2023-01-10 12:15:00,10.2170,10.2320,10.2160,10.2290,678.728M
54,2023-01-10 12:10:00,10.2280,10.2290,10.2170,10.2170,367.474M
55,2023-01-10 12:05:00,10.2170,10.2290,10.2080,10.2290,1.465B
56,2023-01-10 12:00:00,10.2120,10.2170,10.2010,10.2170,1.376B
57,2023-01-10 11:55:00,10.2110,10.2170,10.2070,10.2130,1.326B
58,2023-01-10 11:50:00,10.2240,10.2240,10.2100,10.2120,1.08B
59,2023-01-10 11:45:00,10.2280,10.2290,10.2250,10.2260,579.74M
60,2023-01-10 11:40:00,10.2320,10.2340,10.2270,10.2280,528.448M
61,2023-01-10 11:35:00,10.2410,10.2410,10.2320,10.2320,606.278M
62,2023-01-10 11:30:00,10.2360,10.2420,10.2330,10.2410,404.391M
63,2023-01-10 11:25:00,10.2350,10.2410,10.2330,10.2370,289.764M
64,2023-01-10 11:20:00,10.2250,10.2370,10.2230,10.2360,383.32M
65,2023-01-10 11:15:00,10.2240,10.2280,10.2200,10.2250,280.928M
66,2023-01-10 11:10:00,10.2220,10.2320,10.2180,10.2240,363.52M
67,2023-01-10 11:05:00,10.2230,10.2270,10.2140,10.2170,378.874M
68,2023-01-10 11:00:00,10.2240,10.2290,10.2100,10.2240,468.413M
69,2023-01-10 10:55:00,10.2290,10.2380,10.2220,10.2270,987.658M
70,2023-01-10 10:50:00,10.2490,10.2500,10.2270,10.2270,809.937M
71,2023-01-10 10:45:00,10.2480,10.2500,10.2430,10.2490,1.69B
72,2023-01-10 10:40:00,10.2410,10.2500,10.2350,10.2490,2.278B
73,2023-01-10 10:35:00,10.2270,10.2410,10.2270,10.2400,861.17M
74,2023-01-10 10:30:00,10.2540,10.2660,10.2160,10.2260,808.727M
75,2023-01-10 10:25:00,10.2260,10.2540,10.2180,10.2520,464.991M
76,2023-01-10 10:20:00,10.2250,10.2410,10.2070,10.2290,637.967M
77,2023-01-10 10:15:00,10.2040,10.2260,10.2010,10.2260,881.742M
78,2023-01-10 10:10:00,10.1970,10.2150,10.1930,10.2040,992.344M
79,2023-01-10 10:05:00,10.1590,10.2060,10.1590,10.1980,884.959M
80,2023-01-10 10:00:00,10.1700,10.1750,10.1400,10.1590,1.521B
81,2023-01-10 09:55:00,10.1700,10.1870,10.1680,10.1680,349.622M
82,2023-01-10 09:50:00,10.2000,10.2000,10.1700,10.1710,384.458M
83,2023-01-10 09:45:00,10.1980,10.2030,10.1910,10.2000,302.462M
84,2023-01-10 09:40:00,10.2040,10.2040,10.1910,10.1990,284.184M
85,2023-01-10 09:35:00,10.2120,10.2140,10.2040,10.2040,59.84M
86,2023-01-10 09:30:00,10.2220,10.2240,10.2120,10.2120,84.088M
87,2023-01-10 09:25:00,10.2120,10.2240,10.2070,10.2220,160.403M
88,2023-01-10 09:20:00,10.2330,10.2370,10.1970,10.2130,236.467M
89,2023-01-10 09:15:00,10.2260,10.2370,10.2160,10.2320,287.499M
90,2023-01-10 09:10:00,10.1970,10.2260,10.1970,10.2200,320.814M
91,2023-01-10 09:05:00,10.2050,10.2110,10.1840,10.1950,306.481M
92,2023-01-10 09:00:00,10.2430,10.2430,10.2010,10.2040,264.59M
93,2023-01-10 08:55:00,10.2490,10.2530,10.2420,10.2460,83.236M
94,2023-01-10 08:50:00,10.2430,10.2490,10.2400,10.2450,47.52M
95,2023-01-10 08:45:00,10.2400,10.2450,10.2350,10.2450,129.013M
96,2023-01-10 08:40:00,10.2400,10.2400,10.2350,10.2360,8.539M
97,2023-01-10 08:35:00,10.2400,10.2420,10.2320,10.2410,27.873M
98,2023-01-10 08:30:00,10.2420,10.2440,10.2360,10.2400,41.981M
99,2023-01-10 08:25:00,10.2410,10.2420,10.2380,10.2420,33.867M
100,2023-01-10 08:20:00,10.2350,10.2430,10.2340,10.2410,35.029M
101,2023-01-10 08:15:00,10.2440,10.2450,10.2290,10.2360,128.673M
102,2023-01-10 08:10:00,10.2360,10.2440,10.2310,10.2440,56.95M
103,2023-01-10 08:05:00,10.2360,10.2370,10.2350,10.2360,1.638M
104,2023-01-10 08:00:00,10.2310,10.2360,10.2310,10.2360,7.738M
105,2023-01-10 07:55:00,10.2350,10.2370,10.2310,10.2320,7.972M
106,2023-01-10 07:50:00,10.2290,10.2370,10.2290,10.2350,24.695M
107,2023-01-10 07:45:00,10.2370,10.2380,10.2290,10.2290,24.642M
108,2023-01-10 07:40:00,10.2250,10.2390,10.2250,10.2380,20.756M
109,2023-01-10 07:35:00,10.2330,10.2350,10.2250,10.2290,25.646M
110,2023-01-10 07:30:00,10.2370,10.2390,10.2310,10.2350,35.632M
111,2023-01-10 07:25:00,10.2420,10.2420,10.2300,10.2360,15.506M
112,2023-01-10 07:20:00,10.2360,10.2470,10.2340,10.2400,18.432M
113,2023-01-10 07:15:00,10.2580,10.2580,10.2340,10.2420,40.889M
114,2023-01-10 07:10:00,10.2550,10.2670,10.2550,10.2550,37.399M
115,2023-01-10 07:05:00,10.2600,10.2680,10.2500,10.2550,84.788M
116,2023-01-10 07:00:00,10.2200,10.2620,10.2160,10.2520,165.101M
117,2023-01-09 18:55:00,10.2180,10.2230,10.2100,10.2190,97.322M
118,2023-01-09 18:50:00,10.1980,10.2200,10.1960,10.2180,96.452M
119,2023-01-09 18:45:00,10.2000,10.2020,10.1970,10.1990,57.219M
120,2023-01-09 18:40:00,10.1990,10.2070,10.1950,10.2000,99.589M
121,2023-01-09 18:35:00,10.1890,10.2060,10.1850,10.2010,263.759M
122,2023-01-09 18:30:00,10.1710,10.1890,10.1670,10.1890,106.467M
123,2023-01-09 18:25:00,10.1650,10.1770,10.1620,10.1760,285.41M
124,2023-01-09 18:20:00,10.1610,10.1870,10.1600,10.1650,407.238M
125,2023-01-09 18:15:00,10.1700,10.1750,10.1540,10.1640,444.69M
126,2023-01-09 18:10:00,10.1670,10.1880,10.1620,10.1710,235.892M
127,2023-01-09 18:05:00,10.1830,10.1890,10.1620,10.1670,390.287M
128,2023-01-09 18:00:00,10.1940,10.1970,10.1810,10.1840,257.588M
129,2023-01-09 17:55:00,10.1960,10.1990,10.1840,10.1960,344.058M
130,2023-01-09 17:50:00,10.2010,10.2080,10.1900,10.1950,320.325M
131,2023-01-09 17:45:00,10.2140,10.2140,10.1990,10.2010,277.588M
132,2023-01-09 17:40:00,10.2160,10.2220,10.2000,10.2140,413.142M
133,2023-01-09 17:35:00,10.2210,10.2310,10.1980,10.2170,583.627M
134,2023-01-09 17:30:00,10.2380,10.2400,10.2170,10.2220,338.656M
135,2023-01-09 17:25:00,10.2640,10.2650,10.2270,10.2390,463.781M
136,2023-01-09 17:20:00,10.2480,10.2660,10.2480,10.2640,386.634M
137,2023-01-09 17:15:00,10.2570,10.2570,10.2430,10.2490,305.305M
138,2023-01-09 17:10:00,10.2370,10.2590,10.2370,10.2570,496.635M
139,2023-01-09 17:05:00,10.2370,10.2390,10.2270,10.2380,378.909M
140,2023-01-09 17:00:00,10.2200,10.2440,10.2100,10.2370,518.246M
141,2023-01-09 16:55:00,10.1980,10.2200,10.1830,10.2190,552.243M
142,2023-01-09 16:50:00,10.1870,10.2230,10.1750,10.1980,1.122B
143,2023-01-09 16:45:00,10.2050,10.2060,10.1830,10.1860,1.857B
144,2023-01-09 16:40:00,10.1920,10.2100,10.1910,10.2040,479.28M
145,2023-01-09 16:35:00,10.2390,10.2390,10.1910,10.1930,606.88M
146,2023-01-09 16:30:00,10.2180,10.2410,10.2140,10.2380,1.378B
147,2023-01-09 16:25:00,10.2160,10.2200,10.2120,10.2180,317.393M
148,2023-01-09 16:20:00,10.2190,10.2200,10.2150,10.2170,498.038M
149,2023-01-09 16:15:00,10.2180,10.2200,10.2140,10.2190,458.115M
150,2023-01-09 16:10:00,10.2160,10.2200,10.2120,10.2190,382.528M
151,2023-01-09 16:05:00,10.2250,10.2280,10.2140,10.2170,392.368M
152,2023-01-09 16:00:00,10.2260,10.2320,10.2250,10.2260,518.406M
153,2023-01-09 15:55:00,10.2250,10.2320,10.2220,10.2260,358.987M
154,2023-01-09 15:50:00,10.2180,10.2350,10.2180,10.2250,490.116M
155,2023-01-09 15:45:00,10.2320,10.2460,10.2160,10.2180,714.554M
156,2023-01-09 15:40:00,10.2410,10.2410,10.2300,10.2320,354.032M
157,2023-01-09 15:35:00,10.2410,10.2510,10.2410,10.2430,204.408M
158,2023-01-09 15:30:00,10.2490,10.2520,10.2410,10.2430,312.247M
159,2023-01-09 15:25:00,10.2510,10.2520,10.2370,10.2480,241.529M
160,2023-01-09 15:20:00,10.2580,10.2590,10.2500,10.2510,158.079M
161,2023-01-09 15:15:00,10.2590,10.2610,10.2570,10.2590,256.55M
162,2023-01-09 15:10:00,10.2640,10.2650,10.2550,10.2590,166.786M
163,2023-01-09 15:05:00,10.2440,10.2700,10.2440,10.2630,326.031M
164,2023-01-09 15:00:00,10.2590,10.2600,10.2420,10.2440,271.188M
165,2023-01-09 14:55:00,10.2690,10.2700,10.2570,10.2590,344.669M
166,2023-01-09 14:50:00,10.2690,10.2700,10.2670,10.2690,206.782M
167,2023-01-09 14:45:00,10.2690,10.2720,10.2630,10.2690,410.775M
168,2023-01-09 14:40:00,10.2660,10.2800,10.2650,10.2670,1.062B
169,2023-01-09 14:35:00,10.2700,10.2730,10.2650,10.2650,294.286M
170,2023-01-09 14:30:00,10.2690,10.2710,10.2500,10.2690,346.577M
171,2023-01-09 14:25:00,10.2660,10.2730,10.2620,10.2690,524.685M
172,2023-01-09 14:20:00,10.2930,10.2940,10.2370,10.2660,678.144M
173,2023-01-09 14:15:00,10.2980,10.2990,10.2910,10.2940,251.156M
174,2023-01-09 14:10:00,10.2970,10.2990,10.2720,10.2980,419.175M
175,2023-01-09 14:05:00,10.2830,10.2990,10.2820,10.2970,514.726M
176,2023-01-09 14:00:00,10.2750,10.2890,10.2730,10.2850,325.835M
177,2023-01-09 13:55:00,10.2740,10.2850,10.2720,10.2760,483.139M
178,2023-01-09 13:50:00,10.2770,10.2780,10.2710,10.2740,212.785M
