,datetime,open,max,min,close,value
0,2024-03-13 15:05:00,100.3925,100.4000,100.3325,100.3400,504.794M
1,2024-03-13 14:45:00,100.3925,100.4000,100.3325,100.3400,504.794M
2,2024-03-13 14:40:00,100.4350,100.4575,100.3950,100.3975,469.474M
3,2024-03-13 14:35:00,100.4225,100.4300,100.3950,100.4150,367.425M
4,2024-03-13 14:30:00,100.4325,100.4375,100.3950,100.4175,389.512M
5,2024-03-13 14:25:00,100.4275,100.4450,100.3750,100.4300,386.891M
6,2024-03-13 14:20:00,100.3825,100.4700,100.3825,100.4325,346.374M
7,2024-03-13 14:15:00,100.3800,100.4125,100.3700,100.3775,462.294M
8,2024-03-13 14:10:00,100.3575,100.4025,100.3325,100.3700,441.823M
9,2024-03-13 14:05:00,100.3150,100.3650,100.3075,100.3525,358.103M
10,2024-03-13 14:00:00,100.3825,100.4700,100.3825,100.4325,346.374M
11,2024-03-13 14:15:00,100.3800,100.4125,100.3700,100.3775,462.294M
12,2024-03-13 14:10:00,100.3575,100.4025,100.3325,100.3700,441.823M
13,2024-03-13 14:05:00,100.3150,100.3650,100.3075,100.3525,358.103M
14,2024-03-13 14:00:00,100.2575,100.3200,100.2500,100.3025,347.276M
15,2024-03-13 13:55:00,100.1350,100.2475,100.1075,100.2325,301.759M
16,2024-03-13 13:50:00,100.1075,100.1400,100.0900,100.1300,220.859M
17,2024-03-13 13:45:00,100.0775,100.1450,100.0600,100.1300,294.239M
18,2024-03-13 13:20:00,100.1025,100.1550,100.0700,100.0700,436.581M
19,2024-03-13 13:15:00,100.1025,100.1450,100.0900,100.1025,338.316M
20,2024-03-13 13:10:00,100.1125,100.1425,100.0900,100.0900,298.366M
21,2024-03-13 13:05:00,100.0525,100.1050,100.0425,100.0975,232.585M
22,2024-03-13 13:00:00,100.0850,100.0875,100.0100,100.0375,381.894M
23,2024-03-13 12:55:00,100.1475,100.1625,100.0775,100.0775,322.134M
24,2024-03-13 12:50:00,100.1525,100.1650,100.1000,100.1450,395.755M
25,2024-03-13 12:45:00,100.1450,100.1650,100.1225,100.1450,248.765M
26,2024-03-13 12:40:00,100.1450,100.1475,100.1100,100.1425,525.975M
27,2024-03-13 12:35:00,100.1650,100.1825,100.1225,100.1350,295.237M
28,2024-03-13 12:30:00,100.1425,100.1725,100.1025,100.1650,798.455M
29,2024-03-13 12:25:00,100.1250,100.1650,100.1225,100.1375,1.269B
30,2024-03-13 12:20:00,100.1175,100.1525,100.0625,100.1225,888.578M
31,2024-03-13 12:15:00,100.0900,100.1450,100.0700,100.1100,887.866M
32,2024-03-13 12:10:00,100.0775,100.0900,100.0450,100.0800,879.036M
33,2024-03-13 12:05:00,100.1025,100.1125,100.0550,100.0675,355.687M
34,2024-03-13 12:00:00,100.1200,100.1375,100.0875,100.0925,444.109M
35,2024-03-13 11:55:00,100.1375,100.1525,100.1100,100.1100,441.57M
